股名,股價
中租-KY,149.0
和潤,90.9
和潤甲,94.9
裕融,138.5
台中銀,17.85
兆豐金,39.10
中信金,36.90
第一金,26.80
臺企銀,15.35
京城銀,48.30
和潤乙,95.3
永豐金,22.75
合庫金,25.30
聯邦銀,15.35
元大金,33.20
中菲行,86.8
捷迅,73.5
台驊,85.8
三陽,70.4
長榮航太,94.5
桂盟,133.0
聯強,71.5
華立,123.0
日電貿,62.3
文曄,114.5
大聯大,76.6
中碳,97.7
奇鈦科,71.5
新至陞,129.0
中聯資,67.3
鋼聯,120.5
永記,77.3
三福化,127.0
光洋科,66.0
明基材,33.50
捷流閥業,96.2
茂順,115.5
鑫永銓,95.0
世豐,59.0
世鎧,38.20
中鋼,23.25
榮剛,47.55
長榮鋼,102.5
崑鼎,285.5
可寧衛,184.0
日友,96.1
中興電,167.0
台汽電,43.20
久陽,21.10
櫻花,82.7
崇友,103.5
花仙子,53.2
全國電,83.3
永豐實,50.0
台積電,"1,090"
中美晶,163.5
信紘科,211.0
崇越,313.0
信邦,265.0
凡甲,277.0
晶焱,95.9
耕興,216.5
致茂,442.0
達興材,245.5
臺慶科,123.0
普萊德,167.5
神基,114.5
精誠,140.0
中菲,114.5
漢科,106.0
零壹,102.5
資通,48.45
凌群,56.2
關貿,82.3
邁達特,45.80
緯軟,117.5
新鼎,178.5
巨路,112.5
飛捷,88.9
中保科,141.0
台泥,31.90
華固,115.5
華固無價格,115.5
達欣工,49.80
巨漢,141.0
潤弘,137.5
根基,74.0
皇翔,64.7
雲品,58.0
雲品無價格,58.0
鈺齊-KY,120.0
杏昌,138.5
佳醫,87.3
邦特,125.5
盛弘,30.15
盛弘無價格,30.15
生達,64.0
永信,54.3
中化,38.15
旭富,90.4
生泰,96.8
太醫,87.9
承業醫,42.10
美吾華,23.45
健喬,36.55
溫士頓無價格,17.95
聯華,59.9
聯華食,120.0
卜蜂,96.8
大成,51.2
南僑,55.3
茂生,52.1
黑松,41.40
中華食,88.9
中華食無價格,88.9
中華食無價格,88.9
統一,87.3
興農,43.80
德記,39.45
三商餐飲無價格,17.95
佳格,37.90
大統益,149.0
